package,category,source,name,find_n3,phone,tab
com.xodo.pdf.reader,reader,play,PDF Reader & Editor: Xodo,1,1,1
org.readera,reader,play,ReadEra - book reader pdf epub,1,1,1
com.ktix007.talk,reader,play,Talk: Text to Voice,1,1,1
com.ziroom.ziroomcustomer,real_estate,cn,,1,1,0
com.zacharee1.systemuituner,rice,droidify,SystemUI Tuner,0,1,1
com.bs.smarttouch.gp,rice,obtainium,J Touch,1,1,1
com.sunshine.freeform,rice,obtainium,Mi-Freeform,0,1,1
com.didjdk.adbhelper,rice,obtainium,甲壳虫ADB助手,1,1,1
com.bandot.alexis.pie.iconpack,rice,play,Alexis Pie: Minimal Icon Pack,1,1,1
flar2.homebutton,rice,play,Button Mapper: Remap your keys,1,1,1
website.leifs.delta,rice,play,Delta Icon Pack,1,1,1
com.lwi.android.flapps,rice,play,Floating Apps (multitasking),1,1,1
com.applay.overlay,rice,play,Overlays - Floating Launcher,1,1,1
com.atolphadev.quikshort,rice,play,Quikshort: Shortcut Creator,1,0,0
maa.retrowave_vaporwave_wallpapers,rice,play,Retrowave HD Wallpapers,1,1,1
net.mm2d.android.orientationfaker,rice,play,Screen Orientation Control,1,1,1
rk.android.app.shortcutmaker,rice,play,Shortcut Maker,0,1,1
net.dinglisch.android.appfactory,rice,play,Tasker App Factory,1,0,0
org.geogebra.android.calculator.suite,science,play,GeoGebra Calculator Suite,1,1,1
cz.hipercalc.pro,science,play,HiPER Calc Pro,1,1,1
com.alextepl.molconstr,science,play,Molecular Constructor,1,1,1
august.mendeleev.pro,science,play,Periodic Table 2025 PRO,1,1,1
com.google.android.googlequicksearchbox,search,play,Google,1,0,0
com.authenticator,security,binance,,1,1,1
com.stratumauth.app,security,droidify,Stratum,1,1,1
com.azure.authenticator,security,play,Microsoft Authenticator,1,1,1
com.valvesoftware.android.steam.community,security,play,Steam,1,1,0
com.manmanbuy.bijia,shopping,cn,,1,1,0
com.taobao.etao,shopping,cn,,1,1,0
com.dianping.v1,shopping,play,Dianping,1,1,0
com.jingdong.app.mall,shopping,play,京东,1,1,0
com.taobao.taobao,shopping,play,淘宝,1,1,0
com.sankuai.meituan,shopping,play,美团-美好生活小帮手,1,1,0
com.taobao.idlefish,shopping,play,闲鱼,1,1,0
com.shanling.eddictplayer,smart_audio,play,Eddict Player,1,1,0
com.edifier.edifierconnect,smart_audio,play,Edifier Connect,1,1,0
com.sonova.chb.control,smart_audio,play,Sennheiser Smart Control Plus,1,1,0
com.sony.songpal.mdr,smart_audio,play,Sony | Sound Connect,1,1,0
com.givemefive.ebook,smart_band,bandbbs,,1,0,0
com.givemefive.pics,smart_band,bandbbs,,1,0,0
